X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
600061.5137,4786531.7243,16,157,St. David Elementary School,33 Cromwell Crescent,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.76787899972841,43.22494300365392
604348.549999999813735,4785417.85,17,62,St. Clare of Assisi Elementary School,185 Glenashton Drive,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.71531332764901,43.21433470693851
591100.452499999664724,4784077.3385,18,31,St. Marguerite D'Youville Elementary School,20 Bonaparte Way,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.87860549686357,43.20398125067917
601826.636300000362098,4785581.946299999952,19,88,St. Martin of Tours Elementary School,60 Grays Road,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.74632421159,43.21615641444809
592533.915400000289083,4791354.342,20,119,St. Lawrence Elementary School,88 Macaulay Street East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.8597427084532,43.26932131796197
595118.846099999733269,4786304.038499999791,21,136,St. Margaret Mary Elementary School,25 Brentwood Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.828767660345,43.22353244591759
590295.542700000107288,4789445.3728,22,159,St. Joseph Elementary School,270 Locke Street South,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.88763305285096,43.25240651223177
587811.893500000238419,4785107.5954,23,135,St. Thomas More Secondary School,1045 Upper Paradise Road,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.91891476073636,43.213646410056754
596240.881299999542534,4788215.083399999887,24,149,Delta Secondary School,1284 Main Street East,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81462108415528,43.24059491937942
594314.431599999777973,4785342.9743,25,104,Richard Beasley Elementary School,80 Currie Street,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.83883492223438,43.21498106006422
592345.529900000430644,4791183.188699999824,26,116,Bennetto Elementary School,47 Simcoe Street East,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86209236354546,43.26780355874186
592466.416699999943,4790044.89599999972,27,68,Dr. J. Edgar Davey Elementary School,99 Ferguson Avenue North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8607941712719,43.25754080586308
591452.079599999822676,4790483.757699999958,28,75,Sir John A. Macdonald Secondary School,130 York Boulevard,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87321576987785,43.26161561012727
581780.2812,4784407.637599999085,29,181,Ancaster Senior Elementary School,295 Nakoma Road,Ancaster,Middle School,7,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.99326422065114,43.20802201374321
581865.852400000207126,4785389.1323,30,120,C.H. Bray Elementary School,99 Dunham Drive,Ancaster,Elementary School,Kindergarten,6,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.99206544913359,43.216849489221595
597849.669499999843538,4787905.604699999094,61,152,Sir Winston Churchill Secondary School,1715 Main Street East,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79486515829518,43.23760174840188
597926.618900000117719,4787464.6181,62,155,St. Eugene Elementary School,120 Parkdale Avenue South,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.79399594574605,43.23362168261716
585056.792299999855459,4785969.545099999756,63,160,Ancaster Meadow Elementary School,93 Kitty Murray Lane,Ancaster,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.95269538229529,43.221722228906216
598424.655299999751151,4781706.3934,64,163,Gatestone Elementary School,127 Gatestone Drive,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.78888997811063,43.1817170321464
594394.6699,4788759.9583,65,2,Adelaide Hoodless Elementary School,71 Maplewood Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8372625496965,43.24573369283557
581363.318099999800324,4806310.8231,66,3,Balaclava Elementary School,280 Concession 10 E,Flamborough,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.99515302161403,43.40526633334234
587501.547199999914,4786112.7936,67,4,St. Vincent De Paul Elementary School,295 Green Cedar Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.92257553843959,43.22273240059906
587477.566899999976,4787088.424399999902,68,9,Sir Allan Macnab Secondary School,145 Magnolia Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.92271607149632,43.231518919072435
586525.925699999555945,4801194.5372,69,11,Flamborough Centre Elementary School,922 Centre Road,Flamborough,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.93221352521384,43.3586268662916
601052.281000000424683,4787339.42669999972,70,12,Lake Avenue Elementary School,157 Lake Avenue North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.7555339155548,43.232082392224775
599068.003999999724329,4786606.141,71,15,Glendale Secondary School,145 Rainbow Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.78009662227238,43.22574404878071
581430.08600000012666,4806160.293899999931,72,16,Our Lady of Mount Carmel Elementary School,1624 Centre Road,Flamborough,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.99435097503122,43.403903861745405
602769.873200000263751,4787006.381899999455,73,17,Eastdale Elementary School,275 Lincoln Road,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.73444870849522,43.22885211356831
599945.899299999698997,4780812.6633,74,19,Our Lady of the Assumption Elementary School,55 Highway No. 20 East,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.77033683521165,43.173471355689
591150.424899999984,4786935.5502,75,20,Norwood Park Elementary School,165 Terrace Drive,Hamilton,Elementary School,1,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87751852404332,43.22970775014828
581874.062199999578297,4784537.8891,31,35,Fessenden Elementary School,168 Huron Avenue,Ancaster,Elementary School,Kindergarten,6,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.99209061723417,43.209184551339305
594049.720099999569356,4784034.334,32,97,Cecil B. Stirling Elementary School,340 Queen Victoria Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84231617155791,43.203232507670386
589893.172500000335276,4789468.5381,33,7,Earl Kitchener Elementary School,300 Dundurn Street South,Hamilton,Elementary School,Kindergarten,5,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89258523380612,43.2526631591308
590240.828700000420213,4787542.1654,34,105,Buchanan Park Elementary School,30 Laurier Avenue,Hamilton,Elementary School,Kindergarten,6,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.88861851874307,43.235278473003774
596213.01410000026226,4787832.447899999097,35,106,A.M. Cunningham Elementary School,100 Wexford Avenue South,Hamilton,Elementary School,Kindergarten,5,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81503101264408,43.237153690474535
591938.540500000119209,4790088.150499999523,36,108,Southern Ontario Collegiate,29 Rebecca St,Hamilton,Alternative Education,9,12,English,,http://www.mysoc.ca,,-79.8672892482904,43.257994799737965
591014.897900000214577,4786356.411599999294,37,109,Ridgemount Elementary School,65 Hester Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87928270940907,43.22451012426228
564817.5959,4797613.001499999315,38,110,Dr. John Seaton Elementary School,1279 Seaton Road,Flamborough,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-80.20050189102018,43.32856723895998
598180.106499999761581,4788240.3241,39,111,Parkdale Elementary School,139 Parkdale Avenue North,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79073672214263,43.240572186365576
591554.547500000335276,4784660.4647,40,113,Guido De Brès Christian High School,420 Crerar Drive,Hamilton,Alternative Education,9,12,English,,http://www.guidodebres.org,,-79.87292024095542,43.20917622532042
589715.531000000424683,4790952.475299999118,41,115,École secondaire Georges- P.-Vanier,100 Macklin Street North,Hamilton,Secondary School,7,12,French,Conseil Scolaire Viamonde,https://csviamonde.ca,,-79.89453153889345,43.266044211673346
588803.545400000177324,4787893.2827,42,118,Chedoke Elementary School,500 Bendamere Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.90625997680765,43.238610193481485
598816.9528,4782827.106799999252,43,121,St. James the Apostle Elementary School,29 John Murray Street,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.78386353357719,43.191755353913486
584772.654299999587238,4791435.0951,44,123,St. Augustine Elementary School,25 Alma Street,Dundas,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.9553527838689,43.27096165880068
588991.089999999850988,4790723.33,45,125,Kehila Jewish Community Day School,215 Cline Avenue North,Hamilton,Alternative Education,Kindergarten,5,French Immersion,,http://www.kehilaschool.ca,,-79.90349347198251,43.26406712275656
582169.012900000438094,4785565.138599999249,46,126,St. Ann (Ancaster) Elementary School,24 Fiddler's Green Road,Ancaster,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.98830729805215,43.218401190057314
598198.812199999578297,4782503.22839999944,47,127,Mount Albion Elementary School,24 Kennard Street,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79152683879106,43.18892015250402
596572.130300000309944,4775474.824799999595,48,303,Bellmoore Elementary School,35 Pumpkin Pass,Glanbrook,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81276700746731,43.125853798827656
597637.0592,4785864.980599999428,49,131,Elizabeth Bagshaw Elementary School,350 Albright Road,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79784428457269,43.21925808628584
597829.806300000287592,4785770.6576,50,132,St. Luke Elementary School,345 Albright Road,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.79548831849547,43.21838395930296
595572.509999999776483,4786764.003299999982,51,134,Sherwood Secondary School,25 High Street,Hamilton,Secondary School,9,12,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.82310301684215,43.227616109235825
591501.838999999687076,4788236.639599999413,52,137,Queensdale Elementary School,67 Queensdale Avenue East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87297594268257,43.24137888368282
587587.8311,4789959.7551,53,138,Canadian Martyrs' Elementary School,1355 Main Street West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.9209021674226,43.25735701698606
587037.769799999892712,4789539.451899999753,54,139,St. Mary Secondary School,200 Whitney Avenue,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.92774425593593,43.253636704776795
584290.933600000105798,4798690.979499999434,55,141,Millgrove Elementary School,375 5th Concession West,Flamborough,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.96017512657907,43.3363413600521
588636.332999999634922,4790040.4854,56,144,Columbia International College,1033 Main Street West,Hamilton,Alternative Education,7,12,English,,http://www.cic-totalcare.com/,,-79.90797373351137,43.257961259182004
591370.99930000025779,4786336.085799999535,57,145,St. Michael Elementary School,135 Hester Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.87490202698456,43.224284094346515
593510.985299999825656,4789560.5625,58,148,Cathedral High School,30 Wentworth Street North,Hamilton,Secondary School,9,12,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.8480096099915,43.253051542296795
581717.043200000189245,4783534.8309,59,150,Tapply Binet College,245 Garner Road West,Ancaster,Alternative Education,7,12,English,,http://www.tapply.ca/,,-79.99417170111579,43.2001706525005
595771.888799999840558,4788520.3943,60,151,Memorial (Hamilton) Elementary School,1175 Main Street East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.82034332557176,43.24340327630152
592868.645200000144541,4788214.079299999401,1,98,George L. Armstrong Elementary School,460 Concession Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.85614811830588,43.24100869457705
591239.83490000013262,4790662.6104,2,13,Hess Street Elementary School,107 Hess Street North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87580071890054,43.26325153730924
581252.5461,4793443.1555,3,52,Spencer Valley Elementary School,441 Old Brock Road,Flamborough,Elementary School,6,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.998427639601,43.28942866319596
588318.827399999834597,4798626.039799999446,4,90,Waterdown District Secondary School,215 Parkside Drive,Flamborough,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.91050553234588,43.335294219322265
596793.368700000457466,4786429.65799999982,5,124,Rosedale Elementary School,25 Erindale Avenue,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.80813096728203,43.22445043507802
582817.00800000037998,4789919.507099999115,6,1,Sir William Osler Elementary School,330 Governors Road,Dundas,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.97967621092174,43.25753398329114
597692.495199999772012,4787313.547499999404,7,14,Viscount Montgomery Elementary School,1525 Lucerne Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79690540264497,43.232291991684214
599846.537200000137091,4786514.738,8,18,Sir Isaac Brock Elementary School,130 Greenford Drive,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.77052861734143,43.22481855901099
608803.326000000350177,4785384.72849999927,9,302,Winona Elementary School,301 Lewis Road,Stoney Creek,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.66048929659274,43.21340758005742
601880.013299999758601,4786220.2321,10,99,Cardinal Newman Secondary School,127 Gray Road,Stoney Creek,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.74554938221134,43.221895432280476
589706.703700000420213,4786179.8037,11,153,Annunciation of Our Lord Elementary School,250 Limeridge Road West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.89541698906716,43.2230767731172
589636.585400000214577,4783493.0796,12,66,Corpus Christi Elementary School,25 Alderson Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.89671635988687,43.19889630243701
593359.396200000308454,4790019.752599999309,13,74,St. Brigid Elementary School,24 Smith Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.84979890028568,43.257204360438614
588255.780899999663234,4787250.667899999768,14,86,Regina Mundi Elementary School,675 Mohawk Road West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.91310811029658,43.23288897033073
594488.58530000038445,4789829.4099,15,140,St. Ann (Hamilton) Elementary School,15 St. Ann Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.83592257590261,43.25535002407994
585093.349700000137091,4782253.874399999157,186,339,Christadelphian Heritage College,522 Book Road East,Ancaster,Alternative Education,Kindergarten,8,English,,https://www.heritagecollege.ca,,-79.9528177541216,43.188264961051495
