X,Y,OBJECTID,NAME,ADDRESS,DESCRIPTION,CURRENT_BIKES,AVAILABLE_BIKES,FREE_RACKS,RACKS_AMOUNT,LONGITUDE,LATITUDE,LAST_IMPORT_DATE
589561.6069,4790519.814699999988,24,Macklin at King,"768, King Street West, McMaster Innovation Park, Hamilton, Ontario",,1,1,9,10,-79.89649820282789,43.26216728019876,2018-10-13T00:00:00.000Z
589190.668999999761581,4789893.089299999177,25,McMaster Innovation Park,"175 Longwood Road South, Hamilton","Large sign removed. 
Wave racks.",2,2,13,17,-79.90116924033897,43.25656885228875,2018-10-13T00:00:00.000Z
589724.130300000309944,4788784.1138,26,Dundurn Stairs,"534, Dundurn Street South, Chedoke Park, Hamilton, Ontario",,2,2,8,10,-79.89477875630382,43.246521414314,2018-10-13T00:00:00.000Z
589889.207399999722838,4789334.674699999392,27,Dundurn at Aberdeen,"330-346 Dundurn Street South, Hamilton",,10,10,8,20,-79.89265590936479,43.2514584587571,2018-10-13T00:00:00.000Z
590026.2538,4789709.067199999467,28,Dundurn St S,"229-233 Dundurn Street South, Hamilton",,2,2,8,10,-79.89090677418635,43.254812760880924,2018-10-13T00:00:00.000Z
590156.886,4790249.5392,29,Main at Dundurn,"91 Dundurn Street South, Hamilton",,1,1,9,11,-79.88920927102566,43.25966301097525,2018-10-13T00:00:00.000Z
590252.536399999633431,4790555.8571,30,King at Dundurn,"9-11 Dundurn Street North, Hamilton",,4,4,4,10,-79.8879808187246,43.26240933607034,2018-10-13T00:00:00.000Z
590366.138500000350177,4789550.7234,31,Charlton at Locke,"La Jardinere Flowers, 246, Locke Street South, Hess Village, Hamilton, Ontario",,2,2,8,10,-79.88674625348216,43.253346523009704,2018-10-13T00:00:00.000Z
590494.898299999535084,4789908.9469,32,Locke at Hunter,"137, Locke Street South, Hess Village, Hamilton, Ontario",,6,6,4,10,-79.8851014679705,43.25655615531981,2018-10-13T00:00:00.000Z
590677.572300000116229,4790605.126399999484,33,Locke at Napier,"64, Locke Street North, Hess Village, Hamilton, Ontario",,4,4,6,10,-79.88273673033117,43.26280188055936,2018-10-13T00:00:00.000Z
590736.833599999547005,4790951.6641,34,York at Inchbury,"460 York Boulevard, Hamilton",,4,4,6,10,-79.88194959121734,43.26591461066068,2018-10-13T00:00:00.000Z
590620.191399999894202,4789050.059699999169,35,Aberdeen at Queen,"ABERDEEN at SPRUCESIDE, Hamilton",,4,4,4,10,-79.88369939879509,43.2488085582489,2018-10-13T00:00:00.000Z
590747.360799999908,4789340.5614,36,Herkimer at Queen,"178, Herkimer Street, Hess Village, Hamilton, Ontario",,7,7,3,10,-79.88208532278344,43.25140864255854,2018-10-13T00:00:00.000Z
590754.676300000399351,4789635.730499999598,37,Ryerson Recreation Centre,"251 Duke Street, Hamilton",,1,1,7,10,-79.88194660310627,43.254065161587796,2018-10-13T00:00:00.000Z
591000.324900000356138,4789785.410299999639,38,Hunter at Hess,"131-133 Hess Street South, Hamilton",,4,4,11,15,-79.87889617669063,43.25538310734101,2018-10-13T00:00:00.000Z
591095.352900000289083,4790509.006899999455,39,Queen at Peter,"80, Queen Street North, Hess Village, Hamilton, Ontario",,3,3,6,10,-79.87760600659377,43.2618861335877,2018-10-13T00:00:00.000Z
591076.120000000111759,4790806.161699999124,40,Oxford at York,"40-48 Oxford Street, Hamilton",,14,14,0,10,-79.87779378843516,43.264563726444464,2018-10-13T00:00:00.000Z
591195.739500000141561,4789178.2288,41,Durand Park,"Durand Park, Park Street South, Corktown, Hamilton, Ontario",,8,8,4,14,-79.87658965940645,43.24989306056005,2018-10-13T00:00:00.000Z
591564.194699999876,4789154.5754,42,James S at Charlton,"232 James Street South, Hamilton",,2,2,7,10,-79.87205557197525,43.24963544973271,2018-10-13T00:00:00.000Z
591286.955299999564886,4789616.774299999699,43,Bay at Bold,"100 Bold Street, Hamilton",,2,2,8,10,-79.87539356140229,43.253830226482,2018-10-13T00:00:00.000Z
591356.147300000302494,4789873.4283,44,City Hall,"58 Bay Street South, Hamilton",,1,1,16,17,-79.87449875598867,43.25613248636607,2018-10-13T00:00:00.000Z
591472.421799999661744,4790279.6948,45,Bay at York,"55, Bay Street North, Hess Village, Hamilton, Ontario",,0,0,15,16,-79.87299907111165,43.25977597649235,2018-10-13T00:00:00.000Z
591564.365199999883771,4790661.0852,46,Bay at Mulberry,"177, Bay Street North, Hess Village, Hamilton, Ontario",,3,3,8,11,-79.87180307546886,43.26319844189891,2018-10-13T00:00:00.000Z
591872.243800000287592,4791182.8806,47,Bay at Strachan,"325 Bay Street North, Hamilton",,4,4,6,10,-79.86792325985891,43.26785864564285,2018-10-13T00:00:00.000Z
591810.861399999819696,4789379.710599999875,97,Augusta at John,"62-64 Augusta Street, Hamilton",,1,1,9,10,-79.86898004954786,43.25163232892235,2018-10-13T00:00:00.000Z
590958.800499999895692,4790089.05399999954,98,Queen at George,"34-54 Queen Street South, Hamilton",,1,1,4,5,-79.8793575164152,43.25812181137118,2018-10-13T00:00:00.000Z
592374.206299999728799,4790253.65399999917,99,Mary at Cannon,"134-136 Cannon Street East, Hamilton",,2,2,5,10,-79.86189499478688,43.259431540874765,2018-10-13T00:00:00.000Z
587993.757799999788404,4790560.0292,100,Forsyth at Sterling,"88 Forsyth Avenue North, Hamilton",,2,2,28,30,-79.91580605471647,43.26271404127065,2018-10-13T00:00:00.000Z
591614.423299999908,4789388.4483,101,Duke at James,"1-27 Duke Street, Hamilton",,3,3,7,10,-79.87139806093137,43.251734892364674,2018-10-13T00:00:00.000Z
591941.547899999655783,4789996.741399999708,102,King William at Hughson,"41 King William Street, Hamilton",,3,3,5,8,-79.86726745988187,43.25717148399535,2018-10-13T00:00:00.000Z
593101.138500000350177,4789428.7521,103,Tisdale at Main,"9-23 Tisdale Street South, Hamilton",,6,6,2,10,-79.85307991473755,43.25191559870039,2018-10-13T00:00:00.000Z
589880.130599999800324,4790217.228,104,Frid at Main,"44 Frid Street, Hamilton",,2,2,8,10,-79.89262372204257,43.259405170473904,2018-10-13T00:00:00.000Z
592385.605100000277162,4791854.6281,105,James at Guise,"2-30 Guise Street, Hamilton",,11,11,0,11,-79.86148595749327,43.273843535425236,2018-10-13T00:00:00.000Z
594866.089100000448525,4789419.775699999183,106,Stadium,"17A Cannon Street East, Hamilton",,5,5,7,15,-79.83134329323893,43.251614746623595,2018-10-13T00:00:00.000Z
592080.2653,4790982.6444,107,West Harbour GO Station,"380 James Street North, Hamilton",,4,4,6,10,-79.86539393722391,43.266030544474084,2018-10-13T00:00:00.000Z
591948.364400000311434,4791710.616699999198,108,Pier 4,"50 Leander Drive, Hamilton",,3,3,17,20,-79.86689731428531,43.27260051490912,2018-10-13T00:00:00.000Z
600125.187,4790427.6151,109,Van Wagners,"Waterfront Trail, Hamilton",,8,8,1,10,-79.76638756705066,43.26000777314126,2018-10-13T00:00:00.000Z
592531.0614,4789521.206499999389,110,Main and Wellington,"250 Main Street East, Hamilton",,0,0,6,6,-79.86008584499369,43.25281814701662,2018-10-13T00:00:00.000Z
594134.859299999661744,4788489.4644,111,Cumberland at Blake ,"237-243 Cumberland Avenue, Hamilton",,4,4,2,6,-79.84050840121063,43.24333095599718,2018-10-13T00:00:00.000Z
594004.862200000323355,4789021.960599999875,112,Main  at Eastbourne,"700 Main Street East, Hamilton",,2,2,8,10,-79.84201848451603,43.24814116183069,2018-10-13T00:00:00.000Z
595951.521800000220537,4788985.2355,113,Cannon at Ottawa,"1182-1188 Cannon Street East, Hamilton",,3,3,4,10,-79.81805026580085,43.24756530504696,2018-10-13T00:00:00.000Z
592179.057300000451505,4789780.5435,114,King at Mary,"151-163 Hamilton Regional Road 8, Hamilton",,5,5,1,6,-79.86437804942328,43.255196062730235,2018-10-13T00:00:00.000Z
594606.494400000199676,4790396.5852,115,270 Sherman,"272, Sherman Avenue North, Hamilton, Ontario",,4,4,4,8,-79.83437284885441,43.26044140931267,2018-10-13T00:00:00.000Z
587995.773299999535084,4790782.319399999455,116,Athletic Centre Bike Racks,"Stearn Drive, McMaster University, Hamilton",,0,0,4,5,-79.91574570526151,43.26471509764698,2018-10-13T00:00:00.000Z
584909.358,4790880.852299999446,117,King Street Dundas,"6-8 Main Street, Hamilton",,1,1,9,10,-79.95375394822501,43.26595632530467,2018-10-13T00:00:00.000Z
585404.599700000137091,4790833.517599999905,118,Cootes Drive Dundas,"11 Court Street, Hamilton",,0,0,5,5,-79.94765996983783,43.26547419185364,2018-10-13T00:00:00.000Z
593846.000099999830127,4790930.157299999148,119,Mars at Wentworth - ERI01,"100 Mars Avenue, Hamilton",,4,4,3,7,-79.84364993846138,43.265340158000654,2018-10-13T00:00:00.000Z
594457.7478,4789937.2409,120,Sherman at Barton - ERI02,"141-147 Sherman Avenue North, Hamilton",,9,9,0,7,-79.8362839215856,43.25632467284136,2018-10-13T00:00:00.000Z
594852.1113,4789827.7518,121,Barton at Lottridge - ERI03,"779-781 Barton Street East, Hamilton",,2,2,5,7,-79.83144521746212,43.25528943845642,2018-10-13T00:00:00.000Z
595608.53899999987,4789574.1224,122,Barton and Belview - ERI05,"954 Barton Street East, Hamilton",,3,3,3,7,-79.82217214949738,43.25291050074978,2018-10-13T00:00:00.000Z
591593.8728,4791337.912299999967,48,Bayfront Park,"Harbour Front Drive, North End, Hamilton, Ontario",,8,8,1,10,-79.87132698287611,43.26928827594367,2018-10-13T00:00:00.000Z
587392.865699999966,4789086.55189999938,49,Ainslie at Emerson,"65 Ainslie Avenue, Hamilton",,10,10,0,7,-79.92344226225195,43.24951811528857,2018-10-13T00:00:00.000Z
592564.5751,4790951.820199999958,50,Strachan at Mary,"127, Strachan Street East, North End, Hamilton, Ontario",,4,4,2,7,-79.85943264727538,43.26569369595722,2018-10-13T00:00:00.000Z
592379.824900000356138,4791440.6137,51,Hughson at Picton,"448, Hughson Street North, North End, Hamilton, Ontario",,9,9,0,10,-79.86162665739965,43.27011692225131,2018-10-13T00:00:00.000Z
592478.657499999739,4792102.852099999785,52,Discovery Drive,"Waterfront Trail, Hamilton",,3,3,5,10,-79.8602977399032,43.276066845978235,2018-10-13T00:00:00.000Z
592776.4161,4791613.1237,53,Eastwood Arena,"111, Burlington Street East, North End, Hamilton, Ontario",,4,4,5,10,-79.85671144247674,43.271621271508685,2018-10-13T00:00:00.000Z
591910.011599999852479,4789162.5107,54,Catherine at Young,"175 Catharine Street South, Hamilton",,6,6,4,10,-79.86779507621044,43.24966481079212,2018-10-13T00:00:00.000Z
591603.979299999773502,4789847.560399999842,55,Main at Macnab,"50 Main Street West, Hamilton",,2,2,6,10,-79.87145036485518,43.25586952013937,2018-10-13T00:00:00.000Z
592666.6957,4790549.264599999413,56,Ferguson at Barton,"186, Ferguson Avenue North, Beasley, Hamilton, Ontario",,5,5,5,10,-79.85824231689685,43.26205698289955,2018-10-13T00:00:00.000Z
592931.151800000108778,4791059.493799999356,57,Ferrie at Furguson,"206, Ferrie Street East, North End, Hamilton, Ontario",,4,4,0,5,-79.85489845272171,43.26661794462125,2018-10-13T00:00:00.000Z
592543.424599999561906,4790180.3504,58,Ferguson at Cannon,"156, Cannon Street East, Beasley, Hamilton, Ontario",,4,4,6,10,-79.85982284529412,43.25875083627613,2018-10-13T00:00:00.000Z
592417.315399999730289,4789781.9165,59,Ferguson at King William,"4-12 Ferguson Avenue North, Hamilton",,7,7,0,8,-79.86144310921492,43.25517924889714,2018-10-13T00:00:00.000Z
592060.026800000108778,4790019.1774,60,King William at John,"32-36 John Street North, Hamilton",,6,6,0,8,-79.86580431445469,43.25735901137724,2018-10-13T00:00:00.000Z
593067.549100000411272,4790464.581199999899,61,Victoria at Barton,"286-300 Victoria Avenue North, Hamilton",,5,5,4,10,-79.85331863152541,43.2612451902309,2018-10-13T00:00:00.000Z
593230.4035,4789971.2256,62,Cannon at Oak,"362 Cannon Street East, Hamilton",,7,7,0,8,-79.85139600793622,43.25678344496836,2018-10-13T00:00:00.000Z
593210.609000000171363,4788648.701899999753,63,Wentworth Steps,"203 Wentworth Street South, Hamilton",,1,1,13,15,-79.85186353305073,43.24487936736113,2018-10-13T00:00:00.000Z
592943.1979,4788994.795499999076,64,Stinson at Blythe,"12-38 Blythe Street, Hamilton",,5,5,2,8,-79.85509840536892,43.24802822258254,2018-10-13T00:00:00.000Z
592280.8004,4789404.528599999845,65,Hunter at Furguson,"175, Hunter Street East, Corktown, Hamilton, Ontario",,2,2,6,8,-79.86318781969878,43.25179838350253,2018-10-13T00:00:00.000Z
592206.844100000336766,4789121.0449,66,Corktown Park,"174, Ferguson Avenue South, Corktown, Hamilton, Ontario",,4,4,7,11,-79.86414614966206,43.24925525143887,2018-10-13T00:00:00.000Z
592565.290400000289083,4789152.9491,67,Stinson at West,"93, West Avenue South, Corktown, Hamilton, Ontario",,2,2,7,10,-79.85972611123617,43.249498557448234,2018-10-13T00:00:00.000Z
592874.998200000263751,4789674.3253,68,King William at Victoria,"338, King William Street, Beasley, Hamilton, Ontario",,4,4,1,7,-79.85582381531425,43.25415436252164,2018-10-13T00:00:00.000Z
593702.923499999567866,4790232.857,69,Barton at Wentworth,"Fire Station No.8, Barton Street East, Beasley, Hamilton, Ontario",,3,3,3,8,-79.84553118574532,43.25908027782606,2018-10-13T00:00:00.000Z
593547.455400000326335,4789884.3175,70,Cannon at Wentworth - 96,"451, Cannon Street East, Beasley, Hamilton, Ontario",,4,4,4,8,-79.84750544171357,43.255961739405556,2018-10-13T00:00:00.000Z
593423.808799999766052,4789441.493,71,Wentworth at King,"16 Wentworth Street South, Hamilton",,4,4,6,10,-79.84910353960309,43.25199038408239,2018-10-13T00:00:00.000Z
591999.546,4791684.8464,72,Bay at Macaulay,"492 Bay Street North, Hamilton",,2,2,4,8,-79.86627101892333,43.27236225864892,2018-10-13T00:00:00.000Z
591821.619599999859929,4789461.771199999377,73,Haymarket at Hughson,"22 Haymarket Street, Hamilton",,1,1,9,10,-79.86883386989969,43.252369804815665,2018-10-13T00:00:00.000Z
592031.052199999801815,4790731.7093,74,James at Colbourne,"295 James Street North, Hamilton",,3,3,8,11,-79.86604215941858,43.263777412143426,2018-10-13T00:00:00.000Z
592354.759899999946,4789650.6259,75,Ferguson at King,"4523 Ferguson Avenue South, Hamilton",,4,4,5,10,-79.86223563538422,43.254004918723105,2018-10-13T00:00:00.000Z
594053.460900000296533,4789789.610099999234,76,Cannon at Birch (Powell Park),"72 Harvey Street, Hamilton",,5,5,3,10,-79.84128892410519,43.25504613301513,2018-10-13T00:00:00.000Z
594364.223600000143051,4789610.9986,77,Cannon at Sherman,"61-65 Sherman Avenue North, Hamilton",,5,5,3,8,-79.8374917816469,43.253399283209866,2018-10-13T00:00:00.000Z
593395.731100000441074,4789002.9184,78,Delaware at Myrtle,"17, Delaware Avenue, Inch Park, Hamilton, Ontario",,5,5,2,10,-79.84952369168451,43.24804543009902,2018-10-13T00:00:00.000Z
594410.346300000324845,4788695.4472,79,Maplewood at Springer,"71, Maplewood Avenue, Hamilton, Ontario",,1,1,8,10,-79.8370805388591,43.24515094672603,2018-10-13T00:00:00.000Z
594954.545800000429153,4788513.901399999857,80,Gage Park,"190 Gage Avenue South, Hamilton",,8,8,11,20,-79.83040988438874,43.24344818689337,2018-10-13T00:00:00.000Z
587677.30449999962,4790036.637599999085,81,McMaster Emerson,"Main Street West, Emerson at Main, Hamilton",,1,1,7,10,-79.91978779410928,43.25803879320819,2018-10-13T00:00:00.000Z
587465.870000000111759,4790248.303099999204,82,McMaster Arthur Bourns,"2000 College Court, McMaster University, Hamilton",,1,1,8,10,-79.92235867088473,43.25996900290572,2018-10-13T00:00:00.000Z
587798.6869,4790315.0535,83,McMaster Health Sciences,"CIBC, University Avenue, Westdale, Hamilton, Ontario",,3,3,16,21,-79.91824820664549,43.2605312614688,2018-10-13T00:00:00.000Z
587471.390499999747,4790525.070299999788,84,McMaster Mary Keyes,"Matthews Hall, Scholars Road, Westdale, Hamilton, Ontario",,1,1,9,10,-79.92224671004001,43.2624601199827,2018-10-13T00:00:00.000Z
587757.651399999856949,4790768.929899999872,85,McMaster Stadium,"Stearn Drive, McMaster University, Hamilton",,2,2,3,6,-79.91868138368197,43.26462232183195,2018-10-13T00:00:00.000Z
591767.002500000409782,4789579.400699999183,86,Hunter GO Centre,"36 Hunter Street East, Hamilton",,4,4,4,10,-79.86948698782076,43.25343546629936,2018-10-13T00:00:00.000Z
587884.870099999942,4790561.872099999338,87,McMaster Student Centre,"Sterling Street, McMaster University, Hamilton",,5,5,19,25,-79.91714715904322,43.26274334009929,2018-10-13T00:00:00.000Z
591782.577499999664724,4790198.868499999866,88,York at Macnab,"25 York Boulevard, Hamilton",,0,0,17,19,-79.86919194417085,43.259010594689855,2018-10-13T00:00:00.000Z
591329.620900000445545,4789369.157299999148,89,Park at Robinson,"80-92 Robinson Street, Hamilton",,0,0,10,10,-79.87490908648608,43.25159577434603,2018-10-13T00:00:00.000Z
592844.18099999987,4790087.4931,90,West at Cannon,"144 West Avenue North, Hamilton",,6,6,4,10,-79.85613376366736,43.25787786254079,2018-10-13T00:00:00.000Z
590427.441499999724329,4789757.58899999969,91,Melbourne at Locke,"11-15 Melbourne Street, Hamilton",,3,3,5,8,-79.88595722675439,43.25520157913986,2018-10-13T00:00:00.000Z
589705.691899999976,4791723.9865,92,Princess Point,"809 Desjardins Recreation Trail, Hamilton",,3,3,7,12,-79.89452703902357,43.27299128758909,2018-10-13T00:00:00.000Z
589316.2626,4789457.0501,93,Aberdeen at Studholme,"34 Studholme Road, Hamilton",,8,8,1,10,-79.89969289267924,43.252628308088596,2018-10-13T00:00:00.000Z
591448.484000000171363,4789673.2617,94,Hunter at Park,"61 Hurst Place, Hamilton",,1,1,8,10,-79.87339461553505,43.25431920047988,2018-10-13T00:00:00.000Z
591131.468999999575317,4790202.8933,95,Hess at king,"15 Hess Street North, Hamilton",,5,5,5,10,-79.87721174986451,43.25912584242847,2018-10-13T00:00:00.000Z
586862.0104,4789742.4962,96,Rifle Range at Rail Trail,"64 Rifle Range Road, Hamilton",,9,9,0,10,-79.92987712883195,43.25548500976831,2018-10-13T00:00:00.000Z
591829.5137,4789900.2969,1,Gore Park,"20 King Street East, Hamilton",,10,10,1,16,-79.86866354923782,43.256316859530166,2018-10-13T00:00:00.000Z
591977.1129,4790513.497099999338,2,James North at Mulberry,"200 James Street North, Hamilton",,8,8,11,20,-79.86674308768235,43.261819452993024,2018-10-13T00:00:00.000Z
592235.2511,4790216.1808,3,Seedworks,"126 Catharine Street North, Hamilton",Outside SoBi Hamilton Office,1,1,13,16,-79.86361294962927,43.259111192011055,2018-10-13T00:00:00.000Z
585180.320299999788404,4790853.444,4,Cootes at York and King,"4 Cootes Drive, Hamilton",,6,6,5,12,-79.95041996200833,43.26567898029934,2018-10-13T00:00:00.000Z
585820.0504,4790180.702899999917,5,Osler at Grant,"89-101 Osler Drive, Hamilton",,5,5,5,10,-79.94264344437589,43.25954960556861,2018-10-13T00:00:00.000Z
586062.179899999872,4789351.03199999966,6,Main at Whitney,"1850, Main Street West, University Gardens, Ancaster, Hamilton, Ontario",,4,4,5,9,-79.93979036806346,43.25205234950655,2018-10-13T00:00:00.000Z
586506.542299999855459,4789934.435499999672,7,Osler at Main,"1686 Main Street West, Hamilton",,5,5,5,10,-79.93422554100847,43.25725394381771,2018-10-13T00:00:00.000Z
586417.237300000153482,4789333.3165,8,Whitney at Lower Horning,"377, Whitney Avenue, University Gardens, Hamilton, Ontario",,8,8,0,10,-79.93541989364822,43.25185223543052,2018-10-13T00:00:00.000Z
586863.693900000303984,4790105.5831,9,Sanders at Binkley,"58, Sanders Boulevard, University Gardens, Hamilton, Ontario",,5,5,4,10,-79.9297991391018,43.25875372735213,2018-10-13T00:00:00.000Z
587131.368700000457466,4790236.686699999496,10,Sanders at Hollywood,"26, Sanders Boulevard, University Gardens, Hamilton, Ontario",,3,3,6,10,-79.92648108988178,43.259903167245284,2018-10-13T00:00:00.000Z
588525.370699999853969,4790325.1095,11,King at Cline,"1108 King Street West, Hamilton",,4,4,5,10,-79.90929483523264,43.26053678468679,2018-10-13T00:00:00.000Z
588192.507699999958,4790508.5307,12,Sterling at Whitton,"139, Sterling Street, Westdale, Hamilton, Ontario",,4,4,7,11,-79.91336588409814,43.2622271630598,2018-10-13T00:00:00.000Z
588444.286799999885261,4790489.411299999803,13,Sterling at Haddon,"71 Sterling Street, Hamilton",,1,1,9,10,-79.91026729332131,43.262025521762105,2018-10-13T00:00:00.000Z
588984.685100000351667,4790573.171,14,Westdale Library,"955 King Street West, Hamilton",,5,5,3,9,-79.9035966394892,43.262715994251685,2018-10-13T00:00:00.000Z
587488.670199999585748,4789379.2642,15,Emerson at Whitney,"202, Emerson Street, University Gardens, Hamilton, Ontario",,4,4,6,10,-79.92221581663549,43.25214232110421,2018-10-13T00:00:00.000Z
587599.740799999795854,4789661.9633,16,Rail Trail at Emerson,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,5,5,7,12,-79.92080281538983,43.25467458772047,2018-10-13T00:00:00.000Z
588864.668800000101328,4790493.7113,17,Westdale Village,"25 Marion Avenue South, Hamilton",,2,2,8,11,-79.90508794788292,43.262014778970546,2018-10-13T00:00:00.000Z
587941.209499999880791,4789546.0931,18,Rail Trail at Stroud,"Hamilton Brantford Rail Trail, Emerson Street, Westdale, Hamilton, Ontario",,8,8,2,10,-79.91661527518899,43.25359163805224,2018-10-13T00:00:00.000Z
588644.7933,4790107.8978,19,Main at Columbia College,"82 Newton Avenue, Hamilton",,2,2,7,10,-79.90785867024088,43.25856718095239,2018-10-13T00:00:00.000Z
589199.711299999617,4790609.479399999604,20,Longwood at King,"881, King Street West, Westdale, Hamilton, Ontario",,0,0,9,10,-79.90094184265911,43.263017457095636,2018-10-13T00:00:00.000Z
589327.526999999769032,4790965.9053,21,Longwood at Edgevale,"78, Longwood Road North, Westdale, Hamilton, Ontario",,13,13,0,10,-79.89930945072275,43.266211221631316,2018-10-13T00:00:00.000Z
588632.128999999724329,4788720.767599999905,22,Chedoke Stairs,"Chedoke Park, Hamilton, Ontario",,3,3,7,10,-79.90823779740799,43.24608026242174,2018-10-13T00:00:00.000Z
589084.910500000230968,4790150.5446,23,Main at Longwood,"925, Main Street West, McMaster Innovation Park, Hamilton, Ontario",,4,4,4,10,-79.9024303166503,43.25889923705277,2018-10-13T00:00:00.000Z
596110.093100000172853,4789422.0939,123,Barton at Ottawa - ERI06,"437-443 Ottawa Street North, Hamilton",,2,2,4,7,-79.8160211746482,43.25147804403345,2018-10-13T00:00:00.000Z
595860.6047,4788637.535099999979,124,Ottawa at Dunsmure - ERI07,"463 Dunsmure Road, Hamilton",,2,2,2,7,-79.8192304372373,43.24444659758296,2018-10-13T00:00:00.000Z
595395.556300000287592,4788377.300599999726,125,Maple at Rothsay - ERI08,"394 Maple Avenue, Hamilton",,4,4,3,7,-79.82500255113169,43.2421627336722,2018-10-13T00:00:00.000Z
595238.239799999631941,4788839.512599999085,126,King at Dunsmure - ERI09,"304 Dunsmure Road, Hamilton",,1,1,6,7,-79.8268599805827,43.24634382671116,2018-10-13T00:00:00.000Z
594256.976800000295043,4789168.920399999246,127,Dunsmure at Sherman - ERI10,"44 Dunsmure Road, Hamilton",,4,4,2,7,-79.83888834759689,43.249432741404554,2018-10-13T00:00:00.000Z
595186.261199999600649,4789370.0197,128,Gage at Cannon - ERI11,"75-77 Gage Avenue North, Hamilton",,2,2,5,7,-79.82740849222654,43.251126444296524,2018-10-13T00:00:00.000Z
595513.029400000348687,4789130.4701,129,Belview at Cannon - ERI12,"1065 Cannon Street East, Hamilton",,2,2,2,7,-79.82342541216097,43.24892849896579,2018-10-13T00:00:00.000Z
593957.7478,4790151.843499999493,130,Westinghouse at Barton - ERI13,"9 Westinghouse Avenue, Hamilton",,4,4,2,10,-79.84240606419081,43.25831920064561,2018-10-13T00:00:00.000Z
590991.307300000451505,4790133.10099999979,131,George Street,"118, George Street, Hess Village, Hamilton, Ontario",Sponsored hub.  Installed 2018-02-12,1,1,9,10,-79.87894982114983,43.258514440742516,2018-10-13T00:00:00.000Z
591905.998200000263751,4790286.241299999878,132,James at Vine,"30 Vine Street, Hamilton",,2,2,7,10,-79.8676570508584,43.25978216432791,2018-10-13T00:00:00.000Z
